Grób,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,Masa [g],Iloœæ skorup,Uwagi2.0,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,nak³uwanie
260,b,b,ch,k,"otwory pod wylewem, listwa karbowana",-,3b,2458,67,,,,,,,,,1,,,1,,,,,
261,b,b,ch,k,"guzy plastyczne, do³ki paznokciowe, listewki plastyczne, otwory pod wylewem",garnek,3b,3024,170,,,,1,,,,1,1,,,,1,,,,
261,b,b,g,k,grupy pionowych listewek plastycznych,waza,3a,2315,77,,,,,,,,,,,,,1,,,,
261,b,b,g,0/k,-,misa,3a,303,13,,,,,,,,,,,,,,,,,
262,b,b,g,k,kompozycja linii rytych,-,3a,934,88,,,1,,,,,,,,,,,,,,
263,b,b,g,k,poziome guzy plastyczne,-,3a,1551,46,,,,1,,,,,,,,,,,,,
264,b,c/b,g,k,kompozycja linii rytych; poziome ucha,misa,2a,1120,38,,,1,,,,,,,,,,,,,,
264,b,b,g,k,-,waza,3a,1021,62,,,,,,,,,,,,,,,,,
265,b,b/c,g,k,-,misa,3a,219,8,,,,,,,,,,,,,,,,,
265,b,b,g,0/k,-,-,3a,1740,1,,,,,,,,,,,,,,,,,
266,b,b,g,k,-,waza,3a,2343,245,,,,,,,,,,,,,,,,,
266,b,b,g,k,-,czerpak,3a,95,1,,,,,,,,,,,,,,,,,
266,b,b,g,0/k,-,czerpak,3a,75,1,,,,,,,,,,,,,,,,,
267,b,b,g,k,kompozycja linii rytych,waza,3a,2229,179,,,1,,,,,,,,,,,,,,
267,b,b,g,0,-,miseczka,3a,90,1,,,,,,,,,,,,,,,,,
267,b,b,g,0,-,czerpak,3a,141,1,,,,,,,,,,,,,,,,,
